id,symbol,timestamp,phase,confidence,volume_confirmation,price_action_strength,trend_strength,key_events,support_level,resistance_level,created_at
3,MRK,2025-08-30 11:21:36.293940,accumulation,0.7,1,0.6313431519534348,0.6313431519534348,[],75.0488,100.57,2025-08-30 15:21:36
2,MRK,2025-08-30 11:17:41.251451,accumulation,0.7,1,0.6313431519534348,0.6313431519534348,[],75.0488,100.57,2025-08-30 15:17:41
1,MRK,2025-08-30 09:53:30.752294,accumulation,0.7,1,0.6313431519534348,0.6313431519534348,[],75.0488,100.57,2025-08-30 13:53:30
